Gap,Reaction Time,undergraduate gpa,Exp avg,Sop avg,GPA avg,LoR avg,distance to campus,length,Response-letter sent,last 60/90 gpa,decision 1,decision 2,academic con,campus1,campus2,campus3,campus4,campus5,dposit received,follow up,1411,272,1632,1645,master or not,term,1st gen,residency,response
6.87392182,1.236949261,0.820498334,0.631481022,0.967456886,0.654959475,0.941209096,0.056377495,1.380922242,0.401109334,4.644954029,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1
2.023367304,1.073016226,0.823548513,0.315740511,0.725592665,0.26198379,1.075667538,0.21325406,1.380922242,0.040110933,3.161828356,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1
1.541555968,1.877778396,0.823548513,0.631481022,0.967456886,0.52396758,0.941209096,0.01066722,0.920614828,0.1203328,4.514569354,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1
6.918378227,1.028307217,0.823548513,1.578702555,0.846524776,0.52396758,0.537833769,0.056416487,1.380922242,4.091315207,4.172309584,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
0.018022868,1.028307217,0.823548513,0.631481022,0.846524776,0.392975685,0.941209096,0.023768984,1.380922242,0.160443734,4.938319546,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1
0.109338732,1.207143254,0.823548513,0,0,0,0,5.930969779,1.380922242,0.1203328,4.775338703,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1
0.048060981,1.058113223,0.826598693,0.473610767,0.604660554,0.52396758,0.941209096,0.641129508,1.380922242,0.481331201,4.661252113,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1
1.115014761,0.968695204,0.826598693,1.105091789,0.846524776,0.52396758,0.941209096,0.159161575,1.380922242,0.842329601,4.335290427,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,1
3.552908027,0.849471179,0.826598693,1.578702555,0.846524776,0.52396758,0.806750654,0.183303386,1.380922242,0.040110933,4.61235786,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1
0,0.581217122,0.728992943,1.262962044,1.330253219,0.26198379,0.806750654,0.030078374,1.380922242,0.561553068,3.341107284,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1
0.281156739,1.341270283,0.826598693,1.105091789,0.967456886,0.78595137,0.672292211,0.512136479,1.380922242,0.200554667,5.019809968,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1
0.014418294,0.253351053,0.829648873,0.631481022,0.725592665,0.52396758,0.537833769,4.377018741,1.380922242,0.1203328,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1
0.379681751,0.909083192,0.829648873,0.947221533,0.846524776,0.52396758,0.806750654,0.202320693,0.920614828,0.1203328,4.416780848,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1
4.296651709,1.892681399,0.835749232,1.4208323,0.725592665,0.26198379,0.672292211,0.085958728,1.380922242,0.320887467,3.797453644,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1
4.801292011,1.251852264,0.838799412,1.578702555,0.967456886,1.04793516,1.075667538,0.051447998,1.380922242,1.082995202,5.492454413,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,1
0.255924724,1.728748364,0.838799412,1.105091789,0.725592665,0.78595137,0.806750654,0.029861615,1.380922242,0.401109334,4.693848282,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1
0.088912815,0.938889198,0.838799412,1.578702555,0.967456886,0.78595137,0.806750654,0.284418901,0.920614828,0.040110933,4.889425293,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1
2.42587802,2.071517437,0.838799412,1.578702555,0.967456886,0.78595137,1.075667538,0.099215126,1.380922242,0.080221867,5.345771654,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1
2.982183876,2.920988616,0.838799412,0.789351278,0.604660554,0.654959475,0.806750654,0.014737441,0.920614828,0.080221867,4.889425293,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1
1.260399229,0.879277185,0.838799412,1.4208323,0.967456886,0.392975685,0.806750654,0.079719188,0.920614828,1.363771736,4.824232956,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.300381132,1.236949261,0.841849592,0.789351278,0.604660554,0.52396758,1.075667538,0.002771095,1.380922242,0.280776534,4.759040619,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1
0.148989041,3.070018647,0.841849592,0.631481022,0.846524776,0.78595137,1.075667538,3.295567615,0.920614828,0,5.166492727,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1
4.302659332,0.99850121,0.841849592,1.4208323,0.967456886,0.52396758,0.941209096,0.207499536,0.920614828,0,4.596059776,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1
1.648491651,0.387478082,0.844899771,1.578702555,1.209321108,0.78595137,1.075667538,0.024540208,0.920614828,0.441220267,5.296877401,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1
0,0.923986195,0.738143482,0.947221533,1.209321108,0.26198379,0.537833769,0.00769156,1.380922242,0.802218668,3.944136403,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1
0.720914716,1.132628239,0.844899771,1.105091789,0.967456886,0.52396758,1.344584423,0.01216787,1.380922242,0.481331201,4.547165523,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1
3.588953763,1.967196415,0.844899771,1.578702555,1.209321108,0.78595137,1.344584423,0.074980991,1.841229656,0.521442134,4.661252113,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1
0.789401614,2.071517437,0.847949951,0.789351278,0.846524776,0.654959475,0.941209096,0.025891621,0.920614828,0.160443734,4.710146366,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
0.779789418,1.32636728,0.847949951,1.105091789,0.846524776,0.52396758,0.806750654,0.045220234,0.920614828,0.1203328,4.547165523,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1
11.86145013,1.266755267,0.847949951,1.578702555,1.209321108,0.78595137,1.344584423,0.014737441,0.920614828,4.211648007,5.215386979,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0
1.501905659,1.028307217,0.847949951,0.947221533,0.725592665,0.52396758,0.672292211,0.065566736,1.380922242,0.2406656,4.335290427,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1
0.699287275,0.52160511,0.847949951,0.631481022,0.846524776,0.52396758,0.672292211,0.042925097,1.380922242,0.401109334,4.824232956,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1
0.205460694,2.131129449,0.847949951,0.631481022,0.846524776,0.52396758,0.941209096,0.048941639,1.380922242,0,4.72644445,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1
0.3820848,2.026808427,0.847949951,0.789351278,0.967456886,0.52396758,0.806750654,0.021907888,1.380922242,0.160443734,4.742742534,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1
0.26793997,1.147531242,0.847949951,0.789351278,1.088388997,0.78595137,1.344584423,0.044935342,0.920614828,0.481331201,5.199088895,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1
0.153795139,1.147531242,0.851000131,0.789351278,0.725592665,0.78595137,0.941209096,0.010406017,0.920614828,0.360998401,5.199088895,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1
0.110540256,0.849471179,0.851000131,1.262962044,0.725592665,0.78595137,1.075667538,0.010406017,0.920614828,0.521442134,4.742742534,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1
0.587545494,1.296561273,0.85405031,1.262962044,0.846524776,0.52396758,0.941209096,0.025899083,1.380922242,0.1203328,4.742742534,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1
0.171818007,1.251852264,0.85405031,0.789351278,0.967456886,0.52396758,1.075667538,1.536378847,1.380922242,0,4.72644445,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1
0,2.026808427,0.85710049,1.105091789,0.604660554,0.52396758,1.075667538,0.115396165,1.380922242,0.040110933,4.693848282,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1
0.348442113,0.983598207,0.85710049,0.947221533,1.209321108,0.52396758,1.344584423,0.044935342,0.920614828,0,4.677550197,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1
0.275149117,3.219048678,0.85710049,0.789351278,0.725592665,0.52396758,0.806750654,0.045855171,0.920614828,0.280776534,4.563463607,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
0.696884226,1.251852264,0.85710049,1.578702555,1.209321108,0.78595137,1.344584423,0.21325406,0.920614828,0.481331201,4.922021462,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3.002609793,0.983598207,0.85710049,1.262962044,1.088388997,0.52396758,1.075667538,0.041880366,0.920614828,0.080221867,4.449377017,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1
0.992459259,0.819665173,0.85710049,1.578702555,1.209321108,0.78595137,0.806750654,0.002771095,0.920614828,1.403882669,4.400482764,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
0.097323487,1.296561273,0.85710049,0.315740511,0.725592665,0.52396758,1.075667538,0.048478309,1.380922242,0,4.221203837,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,1
4.499709354,0.879277185,0.86015067,1.578702555,0.967456886,0.52396758,1.075667538,0.049879681,0.920614828,0.481331201,4.775338703,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1
0.61037446,1.162434245,0.86015067,1.105091789,0.604660554,0.52396758,0.941209096,0.019651619,1.380922242,0.401109334,4.759040619,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1
1.166680316,1.266755267,0.86015067,0.789351278,0.846524776,0.654959475,0.806750654,0.037360636,1.380922242,0.441220267,4.400482764,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1
0,2.354674496,0.753394381,0.473610767,0.483728443,0.392975685,0.537833769,0.032248703,1.380922242,0.2406656,3.846347897,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1
0.031239638,1.236949261,0.863200849,1.262962044,0.967456886,0.78595137,1.075667538,0.048478309,1.380922242,0.401109334,5.068704221,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1
0.16460886,1.818166383,0.863200849,1.105091789,0.967456886,0.78595137,1.210125981,0.007237873,1.380922242,0,4.987213799,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1
2.549635047,0.700441148,0.863200849,1.578702555,0.967456886,0.78595137,1.344584423,0.00769156,0.920614828,0.481331201,5.44356016,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1
0.236700332,1.177337248,0.863200849,1.578702555,0.846524776,0.52396758,0.672292211,0.112797001,1.841229656,0.842329601,4.596059776,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1
1.578803229,1.147531242,0.866251029,1.578702555,0.967456886,0.52396758,1.210125981,0.049879681,1.380922242,0.160443734,4.563463607,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1
0.354449736,2.026808427,0.866251029,0.789351278,0.725592665,0.78595137,1.210125981,0.048557714,0.920614828,0.080221867,5.019809968,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1
2.902883258,1.28165827,0.866251029,1.105091789,0.846524776,0.52396758,0.806750654,0.049879681,1.380922242,0.1203328,4.628655944,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1
0.154996664,1.013404214,0.869301209,1.578702555,0.725592665,1.04793516,0.806750654,0.015201109,1.380922242,0,4.61235786,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1
0.468594566,1.236949261,0.869301209,1.262962044,0.967456886,0.52396758,0.941209096,0.032248703,1.380922242,1.002773335,4.693848282,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
0.10092806,0.953792201,0.869301209,0.947221533,0.725592665,0.52396758,1.075667538,0.077942601,0.920614828,0.160443734,4.807934872,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1
0.084106717,0.938889198,0.869301209,0.631481022,0.967456886,0.78595137,1.344584423,0.055810806,0.920614828,0.040110933,5.085002305,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1
0.061277751,1.877778396,0.869301209,1.578702555,0.846524776,0.52396758,0.806750654,0.027315877,1.380922242,0.401109334,4.807934872,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1
1.939260587,0.730247154,0.869301209,0.947221533,0.604660554,0.78595137,0.806750654,0.279148446,0.920614828,1.363771736,4.107117246,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
0.129764649,1.251852264,0.872351388,1.105091789,0.967456886,0.52396758,1.210125981,0.039353639,1.380922242,0.521442134,4.742742534,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1
0.284761313,1.177337248,0.872351388,1.105091789,0.967456886,0.52396758,1.210125981,0.249984383,1.380922242,0.2406656,4.38418468,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1
0.730526913,1.102822232,0.872351388,1.578702555,1.209321108,0.78595137,1.344584423,0.085461526,1.380922242,0.040110933,5.736925677,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,1
1.145052874,1.818166383,0.872351388,0.631481022,0.725592665,1.30991895,0.806750654,0.203368803,0.920614828,0.320887467,5.150194642,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1
5.982390621,1.609524339,0.872351388,0.631481022,0.967456886,0.52396758,1.210125981,5.76665694,0.920614828,0.160443734,4.351588511,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1
